"ImageID","idiom","rating","literal_ratio_mean","prompt_id","final_nouns","count_all_nouns","nouns_present_GPT"
"GPT_P19_19-21.jpg","upper hand","2.3000000000000003","1.0","P19_21","upper, hand ","2.0","upper, hand "
"dreamlike_P19_19_48.jpg","nest egg","0.2","0.8333333333333333","P19_48","money, nest, egg","3.0","money, nest, egg"
"dreamlike_P21_21_52.jpg","earworm","0.2","0.4","P21_52","song, morning, day, ear, worm","5.0","song, day, morning"
"GPT_P23_23-28.jpg","in the bag","1.0","1.0","P23_28","bag","1.0","bag"
"dreamlike_P21_21_11.jpg","hand in hand","1.1","0.4","P21_11","hand, movie, popcorn, thing, sleep","5.0","movie, popcorn"
"GPT_P20_20-22.jpg","in the cards","5.0","0.75","P20_22","promotion, card","2.0","promotion, card"
"dreamlike_P21_21_10.jpg","down the road","1.5",625,"P21_10","road, end, point, year","4.0","road, end, point"
"GPT_P01_01-16-02.jpg","on the ball","2.1","0.5","P01_16","ball","1.0",
"dreamlike_P12_12_54.jpg","cold turkey","0.4","0.75","P12_54","cold, turkey","2.0","cold, turkey"
"GPT_P23_23-29.jpg","at the helm","5.7","0.75","P23_29","person, helm, ship, course","4.0","person, helm, ship"
"dreamlike_P19_19_5.jpg","at sea","0.4","1.0","P19_05","sea","1.0","sea"
"dreamlike_P23_23_14.jpg","old school","1.7000000000000002","1.0","P23_14","scene, item","2.0","scene, item"
"GPT_P22_22-26.jpg","in a nutshell","5.6000000000000005",875,"P22_26","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage"
"dreamlike_P20_20_50.jpg","lame duck","0.2","0.8","P20_50","duck, person, thing, mayor, office","5.0","duck, person, thing, office"
"dreamlike_P01_01_2-02.jpg","on / to hand","0.3","1.0","P01_02","hand","1.0","hand"
"dreamlike_P20_20_8.jpg","white paper","0.3","0.4285714285714285","P20_08","white, paper, week, country, report, subject, plan","7.0","white, paper, report"
"dreamlike_P12_12_4.jpg","in hand","0.5","1.0","P12_04","hand","1.0","hand"
"dreamlike_P22_22_12.jpg","cup of tea","3.3000000000000003","0.6666666666666666","P22_12","warm, steam, cup, tea, lip, element, book, soft, blanket","9.0","warm, steam, cup, book, soft, blanket"
"dreamlike_P19_19_6.jpg","in the can","0.3",625,"P19_06","can, film, material, record","4.0","can, film, material, record"
"dreamlike_P01_01_45-02.jpg","red herring","1.3","0.5","P01_45","red, herring","2.0","red"
"dreamlike_P01_01_1-02.jpg","on the other hand","0.4","1.0","P01_01","hand","1.0","hand"
"GPT_P12_12-19.jpg","red tape","6.1000000000000005","1.0","P12_19","red, tape","2.0","red, tape"
"dreamlike_P23_23_15.jpg","at bay","0.2",625,"P23_15","prey, bay, hunter, predator","4.0","prey, predator"
"dreamlike_P12_12_3.jpg","on board","1.9","1.0","P12_03","board","1.0","board"
"dreamlike_P20_20_7.jpg","at stake","0.4","0.5","P20_07","stake, company, job","3.0","stake"
"GPT_P21_21-24.jpg","blue-collar","8.700000000000001","0.5909090909090908","P21_24","contractor, project, manufacturing, number, worker, physical, work, office, blue, collar, country","11.0","project, worker, physical, work, blue, collar"
"dreamlike_P22_22_13.jpg","black hole","4.6000000000000005","1.0","P22_13","space, light, matter, swirl, darkness, center","6.0","space, light, matter, swirl, darkness, center"
"GPT_P01_01-17-02.jpg","scapegoat","8.3","0.0","P01_17","goat","1.0",
"GPT_P19_19-20.jpg","red flag","5.1000000000000005","0.6666666666666666","P19_20","red, flag, sign","3.0","red, flag"
"GPT_P21_21-25.jpg","bread and butter","6.0","0.5","P21_25","bread, butter, job, money, person, pension","6.0","bread, butter, job, person"
"GPT_P12_12-18.jpg","under fire","6.0","1.0","P12_18","fire","1.0","fire"
"dreamlike_P01_01_44-02.jpg","white elephant","2.6","1.0","P01_44","white, elephant","2.0","white, elephant"
"GPT_P22_22-27.jpg","in hot water","2.7","0.9285714285714286","P22_27","person, edge, side, steam, hot, tub, bubble","7.0","person, edge, side, steam, hot, tub, bubble"
"GPT_P20_20-23.jpg","across the board","3.9","0.5","P20_23","board, industry, investment","3.0","board, industry"
"dreamlike_P12_12_46.jpg","Easter egg","3.3000000000000003","1.0","P12_46","egg","1.0","egg"
"GPT_P19_19-21.jpg","upper hand","1.5","1.0","P19_21","upper, hand ","2.0","upper, hand "
"dreamlike_P19_19_48.jpg","nest egg","0.0","0.8333333333333333","P19_48","money, nest, egg","3.0","money, nest, egg"
"dreamlike_P21_21_52.jpg","earworm","0.0","0.4","P21_52","song, morning, day, ear, worm","5.0","song, day, morning"
"GPT_P23_23-28.jpg","in the bag","7.1000000000000005","1.0","P23_28","bag","1.0","bag"
"dreamlike_P21_21_11.jpg","hand in hand","1.2000000000000002","0.4","P21_11","hand, movie, popcorn, thing, sleep","5.0","movie, popcorn"
"GPT_P20_20-22.jpg","in the cards","4.9","0.75","P20_22","promotion, card","2.0","promotion, card"
"dreamlike_P21_21_10.jpg","down the road","2.2",625,"P21_10","road, end, point, year","4.0","road, end, point"
"GPT_P01_01-16-02.jpg","on the ball","5.1000000000000005","0.5","P01_16","ball","1.0",
"dreamlike_P12_12_54.jpg","cold turkey","1.6","0.75","P12_54","cold, turkey","2.0","cold, turkey"
"GPT_P23_23-29.jpg","at the helm","7.800000000000001","0.75","P23_29","person, helm, ship, course","4.0","person, helm, ship"
"dreamlike_P19_19_5.jpg","at sea","0.8","1.0","P19_05","sea","1.0","sea"
"dreamlike_P23_23_14.jpg","old school","3.5","1.0","P23_14","scene, item","2.0","scene, item"
"GPT_P22_22-26.jpg","in a nutshell","1.3",875,"P22_26","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage","8.0","small, wooden, shell, hazelnut, scatter, shell, scatter, foliage"
"dreamlike_P20_20_50.jpg","lame duck","2.8000000000000003","0.8","P20_50","duck, person, thing, mayor, office","5.0","duck, person, thing, office"
"dreamlike_P01_01_2-02.jpg","on / to hand","0.8","1.0","P01_02","hand","1.0","hand"
"dreamlike_P20_20_8.jpg","white paper","2.7","0.4285714285714285","P20_08","white, paper, week, country, report, subject, plan","7.0","white, paper, report"
"dreamlike_P12_12_4.jpg","in hand","2.6","1.0","P12_04","hand","1.0","hand"
"dreamlike_P22_22_12.jpg","cup of tea","1.8","0.6666666666666666","P22_12","warm, steam, cup, tea, lip, element, book, soft, blanket","9.0","warm, steam, cup, book, soft, blanket"
"dreamlike_P19_19_6.jpg","in the can","5.1000000000000005",625,"P19_06","can, film, material, record","4.0","can, film, material, record"
